title,date_text,mode_clean,price_clean,content,url
18TH ENGIEXPO INDUSTRIAL EXHIBITION VADODARA 2026,Feb 7 at 9:30am to Feb 9 at 6:30pm GMT+5:30,online,free,18TH ENGIEXPO INDUSTRIAL EXHIBITION VADODARA 2026 price free mode online,https://www.eventbrite.com/e/18th-engiexpo-industrial-exhibition-vadodara-2026-tickets-1244535000689?aff=ebdssbdestsearch
ANVAYA – The Innovation Summit 2026,unknown,online,free,ANVAYA – The Innovation Summit 2026 price free mode online,https://www.eventbrite.com/e/anvaya-the-innovation-summit-2026-tickets-1979286461086?aff=ebdssbdestsearch
Software training institute,Sep 22 from 10am to 12pm GMT+5:30,online,free,Software training institute price free mode online,https://www.eventbrite.com/e/software-training-institute-tickets-1585480878989?aff=ebdssbdestsearch
Global Art & Design Education Expo 2026 - Hyderabad,Mar 12 from 2:45pm to 7pm GMT+5:30,online,free,Global Art & Design Education Expo 2026 - Hyderabad price free mode online,https://www.eventbrite.com/e/global-art-design-education-expo-2026-hyderabad-tickets-1980443688384?aff=ebdssbdestsearch
"IC4Es-2026: Two Days International Conference On E-commerce, E-management,",Feb 13 at 10am to Feb 14 at 4pm GMT+5:30,online,paid,"IC4Es-2026: Two Days International Conference On E-commerce, E-management, price paid mode online",https://www.eventbrite.com/e/ic4es-2026-two-days-international-conference-on-e-commerce-e-management-tickets-1904922437289?aff=ebdssbdestsearch
HEAL Uttarakhand Research Center Launch Event,unknown,online,free,HEAL Uttarakhand Research Center Launch Event price free mode online,https://www.eventbrite.co.uk/e/heal-uttarakhand-research-center-launch-event-tickets-1752014184589?aff=ebdssbdestsearch
"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar",unknown,online,free,"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar price free mode online",https://www.eventbrite.com.au/e/electric-exhibition-2026-indias-biggest-electrical-electronics-solar-tickets-1976322596086?aff=ebdssbdestsearch
"Adhesives, Sealants & Bonding Expo 2026",unknown,online,free,"Adhesives, Sealants & Bonding Expo 2026 price free mode online",https://www.eventbrite.com/e/adhesives-sealants-bonding-expo-2026-tickets-1969101149545?aff=ebdssbdestsearch
FutureScope'26: From Ideas to Intelligent Outcomes,Mar 14 from 9am to 4:30pm GMT+5:30,online,free,FutureScope'26: From Ideas to Intelligent Outcomes price free mode online,https://www.eventbrite.com/e/futurescope26-from-ideas-to-intelligent-outcomes-tickets-1980168033894?aff=ebdssbdestsearch
Renewable & Hydro Energy Expo Uttarakhand,May 14 at 10am to May 16 at 6pm GMT+5:30,online,free,Renewable & Hydro Energy Expo Uttarakhand price free mode online,https://www.eventbrite.com/e/renewable-hydro-energy-expo-uttarakhand-tickets-1976431077557?aff=ebdssbdestsearch
Recurring Event,unknown,online,paid,Recurring Event price paid mode online,https://www.eventbrite.com/e/recurring-event-tickets-1490360330869?aff=ebdssbdestsearch
Leveraging Robotics for Success | Bangaluru,unknown,online,paid,Leveraging Robotics for Success | Bangaluru price paid mode online,https://www.eventbrite.com.au/e/leveraging-robotics-for-success-bangaluru-tickets-1052207951307?aff=ebdssbdestsearch
Hyderabad's Biggest Business & Tech Professional Networking Soiree,Mar 18 from 6pm to 9pm GMT+5:30,online,free,Hyderabad's Biggest Business & Tech Professional Networking Soiree price free mode online,https://www.eventbrite.com/e/hyderabads-biggest-business-tech-professional-networking-soiree-tickets-1263665059209?aff=ebdssbdestsearch
"GCP, AWS, AZURE Data Engineering 13 DEC , 2025",unknown,online,free,"GCP, AWS, AZURE Data Engineering 13 DEC , 2025 price free mode online",https://www.eventbrite.com/e/gcp-aws-azure-data-engineering-13-dec-2025-tickets-1977613821175?aff=ebdssbdestsearch
IPCA Electronics Expo India 2026,unknown,online,free,IPCA Electronics Expo India 2026 price free mode online,https://www.eventbrite.com/e/ipca-electronics-expo-india-2026-tickets-1969108043164?aff=ebdssbdestsearch
Generative AI for Society and Workplace | Delhi,unknown,online,free,Generative AI for Society and Workplace | Delhi price free mode online,https://www.eventbrite.com.au/e/generative-ai-for-society-and-workplace-delhi-tickets-1147816924319?aff=ebdssbdestsearch
Cyber Security Course,Feb 6 from 10am to 12pm GMT+5:30,online,free,Cyber Security Course price free mode online,https://www.eventbrite.com/e/cyber-security-course-tickets-1979154810315?aff=ebdssbdestsearch
SFE India Event: what Curtain Wall System to use and where to use them,unknown,online,free,SFE India Event: what Curtain Wall System to use and where to use them price free mode online,https://www.eventbrite.co.uk/e/sfe-india-event-what-curtain-wall-system-to-use-and-where-to-use-them-tickets-1980071710789?aff=ebdssbdestsearch
Everythingaboutwater International Conclave 2026 - Chennai,Jan 22 from 10am to 2pm GMT+5:30,online,paid,Everythingaboutwater International Conclave 2026 - Chennai price paid mode online,https://www.eventbrite.com/e/everythingaboutwater-international-conclave-2026-chennai-tickets-1975093938137?aff=ebdssbdestsearch
Algorythm+/How to Leverage AI (for Absolute Beginners),Jan 29 from 7pm to 9pm GMT+5:30,online,paid,Algorythm+/How to Leverage AI (for Absolute Beginners) price paid mode online,https://www.eventbrite.com/e/algorythmhow-to-leverage-ai-for-absolute-beginners-tickets-1977174641577?aff=ebdssbdestsearch
Bharat Print Expo 2026,Apr 27 at 10am to Apr 29 at 6pm GMT+5:30,online,free,Bharat Print Expo 2026 price free mode online,https://www.eventbrite.com/e/bharat-print-expo-2026-tickets-1362558411889?aff=ebdssbdestsearch
Why Devs Should Care About Cloud Cost | Hands-On Workshop in Delhi NCR,unknown,online,free,Why Devs Should Care About Cloud Cost | Hands-On Workshop in Delhi NCR price free mode online,https://www.eventbrite.com/e/why-devs-should-care-about-cloud-cost-hands-on-workshop-in-delhi-ncr-tickets-1980391473207?aff=ebdssbdestsearch
Harnessing AI for Marketing Innovation | Bangalore,unknown,online,free,Harnessing AI for Marketing Innovation | Bangalore price free mode online,https://www.eventbrite.com.au/e/harnessing-ai-for-marketing-innovation-bangalore-tickets-1052207810887?aff=ebdssbdestsearch
Cyber Security Training In Hyderabad | Version IT,Jan 29 from 10am to 12pm GMT+5:30,online,free,Cyber Security Training In Hyderabad | Version IT price free mode online,https://www.eventbrite.com/e/cyber-security-training-in-hyderabad-version-it-tickets-1978712049004?aff=ebdssbdestsearch
Eduverse Summit India 2026,Feb 4 from 9am to 9pm GMT+5:30,online,paid,Eduverse Summit India 2026 price paid mode online,https://www.eventbrite.com/e/eduverse-summit-india-2026-tickets-1736618716329?aff=ebdssbdestsearch
IFEX 2026,unknown,online,free,IFEX 2026 price free mode online,https://www.eventbrite.co.uk/e/ifex-2026-tickets-1979106181866?aff=ebdssbdestsearch
India Tech Summit,unknown,online,paid,India Tech Summit price paid mode online,https://www.eventbrite.com/e/india-tech-summit-tickets-97765875365?aff=ebdssbdestsearch
India Energy Week 2026,Jan 27 from 1am to 1:30am GMT+5:30,online,free,India Energy Week 2026 price free mode online,https://www.eventbrite.com/e/india-energy-week-2026-tickets-1970285854028?aff=ebdssbdestsearch
Vaccines World Summit 2026 (Solution Provider),unknown,online,paid,Vaccines World Summit 2026 (Solution Provider) price paid mode online,https://www.eventbrite.sg/e/vaccines-world-summit-2026-solution-provider-tickets-1569269981759?aff=ebdssbdestsearch
International Net Zero Summit 2026 Awards,unknown,online,paid,International Net Zero Summit 2026 Awards price paid mode online,https://www.eventbrite.com/e/international-net-zero-summit-2026-awards-tickets-1978384430087?aff=ebdssbdestsearch
Smart Irrigation Market Estimated to Experience a Hike in Growth by 2035,Feb 13 from 10am to 12pm GMT+5:30,online,free,Smart Irrigation Market Estimated to Experience a Hike in Growth by 2035 price free mode online,https://www.eventbrite.com/e/smart-irrigation-market-estimated-to-experience-a-hike-in-growth-by-2035-tickets-1397890099919?aff=ebdssbdestsearch
Fintech Talks Vol 1 Presented by Tolken,Jan 23 from 6pm to 9pm GMT+5:30,online,free,Fintech Talks Vol 1 Presented by Tolken price free mode online,https://www.eventbrite.com/e/fintech-talks-vol-1-presented-by-tolken-tickets-1980403616528?aff=ebdssbdestsearch
Virtual Career Fair | Job Fair 2026 | Land Remote AI & Tech Jobs,unknown,online,free,Virtual Career Fair | Job Fair 2026 | Land Remote AI & Tech Jobs price free mode online,https://www.eventbrite.co.uk/e/virtual-career-fair-job-fair-2026-land-remote-ai-tech-jobs-tickets-1980323223069?aff=ebdssbdestsearch
Virtual Career Fair | Job Fair 2026 | Startup Matchmaking,unknown,online,free,Virtual Career Fair | Job Fair 2026 | Startup Matchmaking price free mode online,https://www.eventbrite.co.uk/e/virtual-career-fair-job-fair-2026-startup-matchmaking-tickets-1980322068616?aff=ebdssbdestsearch
19th edition - India Drilling & Exploration Conference (IDEC) 2026,unknown,online,free,19th edition - India Drilling & Exploration Conference (IDEC) 2026 price free mode online,https://www.eventbrite.com/e/19th-edition-india-drilling-exploration-conference-idec-2026-tickets-1978823627739?aff=ebdssbdestsearch
Test Automation Summit | Bangalore| 2026,Feb 19 from 9am to 5pm CST,online,free,Test Automation Summit | Bangalore| 2026 price free mode online,https://www.eventbrite.com/e/test-automation-summit-bangalore-2026-tickets-1963091760300?aff=ebdssbdestsearch
Pamex 2026,Jan 27 at 10am to Jan 30 at 6pm GMT+5:30,online,free,Pamex 2026 price free mode online,https://www.eventbrite.com/e/pamex-2026-tickets-850680015827?aff=ebdssbdestsearch
D-arc BUILD Mumbai 2026,Apr 17 at 10am to Apr 19 at 6pm GMT+5:30,online,free,D-arc BUILD Mumbai 2026 price free mode online,https://www.eventbrite.com/e/d-arc-build-mumbai-2026-tickets-1354797508819?aff=ebdssbdestsearch
Women in Tech Pune - OutGeekWomen,May 14 from 6pm to 8:30pm GMT+5:30,online,free,Women in Tech Pune - OutGeekWomen price free mode online,https://www.eventbrite.com/e/women-in-tech-pune-outgeekwomen-tickets-1330285362329?aff=ebdssbdestsearch
Empowering Modern HR Teams with AI | Delhi,unknown,online,free,Empowering Modern HR Teams with AI | Delhi price free mode online,https://www.eventbrite.com.au/e/empowering-modern-hr-teams-with-ai-delhi-tickets-1980357565789?aff=ebdssbdestsearch
STRT UP CONNECTOR,Mar 24 from 10am to 5pm GMT+5:30,online,paid,STRT UP CONNECTOR price paid mode online,https://www.eventbrite.com/e/strt-up-connector-tickets-1317678073589?aff=ebdssbdestsearch
VanGuard- Elevating QE through AI Innovations,Jan 31 from 10am to 5pm GMT+5:30,online,free,VanGuard- Elevating QE through AI Innovations price free mode online,https://www.eventbrite.com/e/vanguard-elevating-qe-through-ai-innovations-tickets-1979853834114?aff=ebdssbdestsearch
Vaccines World Summit 2026 (End Users - APAC),unknown,online,paid,Vaccines World Summit 2026 (End Users - APAC) price paid mode online,https://www.eventbrite.sg/e/vaccines-world-summit-2026-end-users-apac-tickets-1569357373149?aff=ebdssbdestsearch
"Bangalore's Big Business, Tech & Entrepreneur Professional Networking Event",Mar 17 from 6pm to 8pm GMT+5:30,online,free,"Bangalore's Big Business, Tech & Entrepreneur Professional Networking Event price free mode online",https://www.eventbrite.com/e/bangalores-big-business-tech-entrepreneur-professional-networking-event-tickets-1260409040369?aff=ebdssbdestsearch
Artist walkthrough,Jan 27 from 11am to 12:30pm GMT+5:30,online,free,Artist walkthrough price free mode online,https://www.eventbrite.com/e/artist-walkthrough-tickets-1980074419892?aff=ebdssbdestsearch
The Design Exchange Summit 2026,Jan 24 from 8:30am to 6pm GMT+5:30,online,paid,The Design Exchange Summit 2026 price paid mode online,https://www.eventbrite.com/e/the-design-exchange-summit-2026-tickets-1980369573705?aff=ebdssbdestsearch
staaake Global Dinner Club for Founders & Creators now in Bengaluru,unknown,online,free,staaake Global Dinner Club for Founders & Creators now in Bengaluru price free mode online,https://www.eventbrite.ch/e/staaake-global-dinner-club-for-founders-creators-now-in-bengaluru-tickets-1977715659777?aff=ebdssbdestsearch
The Leadership Dialogues (Edition 1),unknown,online,free,The Leadership Dialogues (Edition 1) price free mode online,https://www.eventbrite.ie/e/the-leadership-dialogues-edition-1-tickets-1978870485893?aff=ebdssbdestsearch
Plastindia 2026,Feb 5 from 10am to 5pm GMT+5:30,online,paid,Plastindia 2026 price paid mode online,https://www.eventbrite.com/e/plastindia-2026-tickets-1658526680949?aff=ebdssbdestsearch
Leadership Pivot Workshop - Pune Chapter,Feb 7 from 9:30am to 4pm GMT+5:30,online,paid,Leadership Pivot Workshop - Pune Chapter price paid mode online,https://www.eventbrite.com/e/leadership-pivot-workshop-pune-chapter-tickets-1978874423671?aff=ebdssbdestsearch
Jharkhand Mining & Construction Show,Jan 29 at 11am to Jan 31 at 7pm GMT+5:30,online,free,Jharkhand Mining & Construction Show price free mode online,https://www.eventbrite.com/e/jharkhand-mining-construction-show-tickets-1377095261999?aff=ebdssbdestsearch
Women in Tech Bengaluru - OutGeekWomen,Nov 12 from 6pm to 8:30pm GMT+5:30,online,paid,Women in Tech Bengaluru - OutGeekWomen price paid mode online,https://www.eventbrite.com/e/women-in-tech-bengaluru-outgeekwomen-tickets-1330268963279?aff=ebdssbdestsearch
21st Global Investment Immigration Summit & International Real Estate Expo!,unknown,online,free,21st Global Investment Immigration Summit & International Real Estate Expo! price free mode online,https://www.eventbrite.co.uk/e/21st-global-investment-immigration-summit-international-real-estate-expo-registration-1976602250540?aff=ebdssbdestsearch
Women in Tech Hyderabad - OutGeekWomen,Nov 11 from 6pm to 8:30pm GMT+5:30,online,free,Women in Tech Hyderabad - OutGeekWomen price free mode online,https://www.eventbrite.com/e/women-in-tech-hyderabad-outgeekwomen-tickets-1330296746379?aff=ebdssbdestsearch
staaake in Kolkata Power Walk for AI/Tech Founder & Creators,unknown,online,free,staaake in Kolkata Power Walk for AI/Tech Founder & Creators price free mode online,https://www.eventbrite.ch/e/staaake-in-kolkata-power-walk-for-aitech-founder-creators-tickets-1978760373544?aff=ebdssbdestsearch
staaake Global Dinner Club for Founders & Creators (One time in Kolkata),unknown,online,free,staaake Global Dinner Club for Founders & Creators (One time in Kolkata) price free mode online,https://www.eventbrite.ch/e/staaake-global-dinner-club-for-founders-creators-one-time-in-kolkata-tickets-1978760213064?aff=ebdssbdestsearch
"Conceptual Understanding as an Ecosystem: Ideas, Purpose, and Practices",unknown,online,paid,"Conceptual Understanding as an Ecosystem: Ideas, Purpose, and Practices price paid mode online",https://www.eventbrite.be/e/conceptual-understanding-as-an-ecosystem-ideas-purpose-and-practices-tickets-1969841655418?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: CHENNAI",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: CHENNAI price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-chennai-tickets-1847161051429?aff=ebdssbdestsearch
Bangalore 2026 FIRST Technical Colloquium,Feb 10 at 8:30am to Feb 11 at 5pm GMT+5:30,online,free,Bangalore 2026 FIRST Technical Colloquium price free mode online,https://www.eventbrite.com/e/bangalore-2026-first-technical-colloquium-tickets-1976889998201?aff=ebdssbdestsearch
VLSI Course FREE DEMO,Feb 11 from 10am to 12pm GMT+5:30,online,free,VLSI Course FREE DEMO price free mode online,https://www.eventbrite.com/e/vlsi-course-free-demo-tickets-1979522932378?aff=ebdssbdestsearch
Cloud Data Engineer GCP Cloud Data,Jan 26 from 10am to 12pm GMT+5:30,online,free,Cloud Data Engineer GCP Cloud Data price free mode online,https://www.eventbrite.com/e/cloud-data-engineer-gcp-cloud-data-tickets-1978291835133?aff=ebdssbdestsearch
HealthCare Entrepreneur's Mixer (Mumbai),Jan 30 from 6pm to 8pm GMT+5:30,online,free,HealthCare Entrepreneur's Mixer (Mumbai) price free mode online,https://www.eventbrite.com/e/healthcare-entrepreneurs-mixer-mumbai-tickets-1977399743864?aff=ebdssbdestsearch
Women in Tech Chennai - OutGeekWomen,Nov 19 from 6pm to 8:30pm GMT+5:30,online,free,Women in Tech Chennai - OutGeekWomen price free mode online,https://www.eventbrite.com/e/women-in-tech-chennai-outgeekwomen-tickets-1330299414359?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: HYDERABAD",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: HYDERABAD price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-hyderabad-tickets-1847184120429?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: PUNE",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: PUNE price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-pune-tickets-1847194020039?aff=ebdssbdestsearch
Money Alpha 360°,unknown,online,free,Money Alpha 360° price free mode online,https://www.eventbrite.co.uk/e/money-alpha-360-tickets-1980359377207?aff=ebdssbdestsearch
Future Defence Conclave 2026,unknown,online,paid,Future Defence Conclave 2026 price paid mode online,https://www.eventbrite.co.uk/e/future-defence-conclave-2026-tickets-1979009311123?aff=ebdssbdestsearch
Fitness Event Repetitive,unknown,online,free,Fitness Event Repetitive price free mode online,https://www.eventbrite.com/e/fitness-event-repetitive-tickets-1968412088545?aff=ebdssbdestsearch
staaake Private Dinner: New Delhi Tech Conference AI/Tech Dinner,unknown,online,free,staaake Private Dinner: New Delhi Tech Conference AI/Tech Dinner price free mode online,https://www.eventbrite.ch/e/staaake-private-dinner-new-delhi-tech-conference-aitech-dinner-tickets-1977851599376?aff=ebdssbdestsearch
BigFix Connect In Person - Mumbai India User Group,Feb 6 from 9am to 4pm GMT+5:30,online,free,BigFix Connect In Person - Mumbai India User Group price free mode online,https://www.eventbrite.com/e/bigfix-connect-in-person-mumbai-india-user-group-tickets-1560210835609?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: DELHI",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: DELHI price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-delhi-tickets-1847251150919?aff=ebdssbdestsearch
3rd Surfentech Expo Chennai 2026,unknown,online,free,3rd Surfentech Expo Chennai 2026 price free mode online,https://www.eventbrite.ie/e/3rd-surfentech-expo-chennai-2026-tickets-1779681056949?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: MUMBAI",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: MUMBAI price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-mumbai-tickets-1847209345879?aff=ebdssbdestsearch
Bharat Chemical Tech Expo 2026,unknown,online,free,Bharat Chemical Tech Expo 2026 price free mode online,https://www.eventbrite.com/e/bharat-chemical-tech-expo-2026-tickets-1969112558670?aff=ebdssbdestsearch
Startup Awards 2026,Feb 4 from 10am to 9:30pm GMT+5:30,online,paid,Startup Awards 2026 price paid mode online,https://www.eventbrite.com/e/startup-awards-2026-tickets-1977764161848?aff=ebdssbdestsearch
UI/UX,Jan 25 from 10:30am to 11:30am GMT+5:30,online,free,UI/UX price free mode online,https://www.eventbrite.com/e/uiux-tickets-1978242601875?aff=ebdssbdestsearch
"Data Analytics Course FREE DEMO On 19, 20 DEC, 2025",Jan 27 from 10am to 12pm GMT+5:30,online,free,"Data Analytics Course FREE DEMO On 19, 20 DEC, 2025 price free mode online",https://www.eventbrite.com/e/data-analytics-course-free-demo-on-19-20-dec-2025-tickets-1978395540318?aff=ebdssbdestsearch
"WomenHack - Bangalore - Employer Ticket - April 8, 2026",Apr 8 from 6:30pm to 9:30pm GMT+5:30,online,paid,"WomenHack - Bangalore - Employer Ticket - April 8, 2026 price paid mode online",https://www.eventbrite.com/e/womenhack-bangalore-employer-ticket-april-8-2026-tickets-1979784704345?aff=ebdssbdestsearch
HealthCare Startup Mixer (Mumbai),Jan 30 from 6pm to 8pm GMT+5:30,online,free,HealthCare Startup Mixer (Mumbai) price free mode online,https://www.eventbrite.com/e/healthcare-startup-mixer-mumbai-tickets-1977708786218?aff=ebdssbdestsearch
Python Course Free DEMO,Feb 2 from 10am to 12pm GMT+5:30,online,free,Python Course Free DEMO price free mode online,https://www.eventbrite.com/e/python-course-free-demo-tickets-1978959812070?aff=ebdssbdestsearch
"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: KOCHI",unknown,online,free,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: KOCHI price free mode online",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-kochi-tickets-1847214752049?aff=ebdssbdestsearch
Side Event: staaake Reverse Network Opening Power Walk at AI Dev Conference,unknown,online,free,Side Event: staaake Reverse Network Opening Power Walk at AI Dev Conference price free mode online,https://www.eventbrite.ch/e/side-event-staaake-reverse-network-opening-power-walk-at-ai-dev-conference-tickets-1979181130038?aff=ebdssbdestsearch
Global Ed Interaction In New Delhi 2026,Feb 1 from 11am to 5pm GMT+5:30,online,free,Global Ed Interaction In New Delhi 2026 price free mode online,https://www.eventbrite.com/e/global-ed-interaction-in-new-delhi-2026-tickets-1980247608905?aff=ebdssbdestsearch
"AgentCamp 2026 - Nagpur, India",Mar 7 from 10am to 5pm GMT+5:30,online,free,"AgentCamp 2026 - Nagpur, India price free mode online",https://www.eventbrite.com/e/agentcamp-2026-nagpur-india-tickets-1979844085957?aff=ebdssbdestsearch
DevOps Course FREE DEMO,Feb 4 from 10am to 12pm GMT+5:30,online,free,DevOps Course FREE DEMO price free mode online,https://www.eventbrite.com/e/devops-course-free-demo-tickets-1979041578636?aff=ebdssbdestsearch
AppSentinels - API Security Platform,Mar 7 from 10am to 12pm GMT+5:30,online,free,AppSentinels - API Security Platform price free mode online,https://www.eventbrite.com/e/appsentinels-api-security-platform-tickets-1979209571106?aff=ebdssbdestsearch
THE STARTUP STORIES BY BENGALURU ENTREPRENEURS,Jan 20 from 6pm to 8pm GMT+5:30,online,free,THE STARTUP STORIES BY BENGALURU ENTREPRENEURS price free mode online,https://www.eventbrite.com/e/the-startup-stories-by-bengaluru-entrepreneurs-tickets-1978881315284?aff=ebdssbdestsearch
Generative AI Training Free DEMO Course,Feb 19 from 10am to 12pm GMT+5:30,online,free,Generative AI Training Free DEMO Course price free mode online,https://www.eventbrite.com/e/generative-ai-training-free-demo-course-tickets-1980248114417?aff=ebdssbdestsearch
Azure Data Engineering Training in Hyderabad | VERSION IT Institute,Jan 23 from 8am to 10am GMT+5:30,online,free,Azure Data Engineering Training in Hyderabad | VERSION IT Institute price free mode online,https://www.eventbrite.com/e/azure-data-engineering-training-in-hyderabad-version-it-institute-tickets-1977496497256?aff=ebdssbdestsearch
In-Person 2-Day NetBrain Power User Training (Hyderabad),unknown,online,free,In-Person 2-Day NetBrain Power User Training (Hyderabad) price free mode online,https://www.eventbrite.com/e/in-person-2-day-netbrain-power-user-training-hyderabad-tickets-1636257994709?aff=ebdssbdestsearch
UI UX Scholarship Test JAN 25 2026,unknown,online,free,UI UX Scholarship Test JAN 25 2026 price free mode online,https://www.eventbrite.com/e/ui-ux-scholarship-test-jan-25-2026-tickets-1979593853505?aff=ebdssbdestsearch
staaake Tech/AI Power Walk for Founders & Creators now in Bengaluru,unknown,online,free,staaake Tech/AI Power Walk for Founders & Creators now in Bengaluru price free mode online,https://www.eventbrite.ch/e/staaake-techai-power-walk-for-founders-creators-now-in-bengaluru-tickets-1977713920575?aff=ebdssbdestsearch
Join Biggest Community | Investors Founders | New Delhi | Online,Jan 21 from 12:30pm to 1:30pm GMT+5:30,online,free,Join Biggest Community | Investors Founders | New Delhi | Online price free mode online,https://www.eventbrite.com/e/join-biggest-community-investors-founders-new-delhi-online-tickets-1374181797749?aff=ebdssbdestsearch
Join Biggest Community | Investors Founders | Hyderabad | Online,Jan 21 from 12:30pm to 1:30pm GMT+5:30,online,free,Join Biggest Community | Investors Founders | Hyderabad | Online price free mode online,https://www.eventbrite.com/e/join-biggest-community-investors-founders-hyderabad-online-tickets-1351345874889?aff=ebdssbdestsearch
